tahun;status;kdurus;nmurus;kdskpd;nmskpd;kdsubunit;nmsubunit;kdbidurus;nmbidurus;kdprog;nmprog;kdgiat;nmgiat;kdsubgiat;nmsubgiat;kdsdana;nmsdana;kdrek;nmrek;jml;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0001;Penyediaan Gaji dan Tunjangan ASN;1.2.01.08;Dana Alokasi Umum (DAU);5.1.01.01.011.00001;Belanja Iuran Jaminan Kematian PNS;732917057;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0001;Penyediaan Gaji dan Tunjangan ASN;1.2.01.08;Dana Alokasi Umum (DAU);5.1.01.01.011.00002;Belanja Iuran Jaminan Kematian PPPK;410651722;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0001;Penyediaan Gaji dan Tunjangan ASN;1.2.01.08;Dana Alokasi Umum (DAU);5.1.01.01.012.00001;Belanja Iuran Simpanan Peserta Tabungan Perumahan Rakyat PNS;457733074;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0001;Penyediaan Gaji dan Tunjangan ASN;1.2.01.08;Dana Alokasi Umum (DAU);5.1.01.01.012.00002;Belanja Iuran Simpanan Peserta Tabungan Perumahan Rakyat PPPK;291775268;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0001;Penyediaan Gaji dan Tunjangan ASN;1.2.01.08;Dana Alokasi Umum (DAU);5.1.01.02.001.00001;Tambahan Penghasilan berdasarkan Beban Kerja PNS;4246931270;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0001;Penyediaan Gaji dan Tunjangan ASN;1.2.01.08;Dana Alokasi Umum (DAU);5.1.01.02.001.00002;Tambahan Penghasilan berdasarkan Beban Kerja PPPK;410894667;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0001;Penyediaan Gaji dan Tunjangan ASN;1.2.01.08;Dana Alokasi Umum (DAU);5.1.01.02.003.00001;Tambahan Penghasilan berdasarkan Kondisi Kerja PNS;514649837;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0001;Penyediaan Gaji dan Tunjangan ASN;1.2.01.08;Dana Alokasi Umum (DAU);5.1.02.02.001.00080;Belanja Honorarium Penanggungjawaban Pengelola Keuangan;204680000;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0001;Penyediaan Gaji dan Tunjangan ASN;2.2.01.09.002.00004;DAK Non Fisik-TPG PNSD;5.1.01.02.006.00064;Belanja Tunjangan Profesi Guru (TPG) PNSD;99202601000;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0001;Penyediaan Gaji dan Tunjangan ASN;2.2.01.09.002.00005;DAK Non Fisik-Tamsil Guru PNSD;5.1.01.02.006.00066;Belanja Tambahan Penghasilan (Tamsil) Guru PNSD;75000000;
